1. According to the shared responsibility mode, which security and compliance task is AWS responsible for?	A. Granting permissions to users and services	B. Updating Amazon EC2 host firmware	C. Encrypting data at rest	D. Updating operating systems	B	
2. A company has a global user base and needs to deploy AWS services that can decrease network latency for their users. Which services may assist? (Select TWO.)	A. Amazon CloudFront	B. Amazon VPC	C. Application Auto Scaling	D. AWS Direct Connect	E. AWS Global Accelerator	AE
3. What can be used to allow an application running on an Amazon EC2 instance to securely store data in an Amazon S3 bucket without using long-term credentials?	A. AWS Systems Manager	B. Amazon Connect	C. AWS IAM role	D. AWS IAM access key	C	
4. Which AWS service does AWS Snowball Edge natively support?	A. AWS Server Migration Service (AWS SMS)	B. AWS Database Migration Service (AWS DMS)	C. AWS Trusted Advisor	D. Amazon EC2	D	
5. AWS are able to continue to reduce their pricing due to:	A. Pay-as-you go pricing	B. The AWS global infrastructure	C. Economies of scale	D. Reserved instance pricing	C	
6. According to the AWS shared responsibility model, which task is the customer's responsibility?	A. Maintaining the infrastructure needed to run Amazon DynamoDB.	B. Updating the operating system of AWS Lambda instances.	C. Maintaining Amazon API Gateway infrastructure.	D. Updating the guest operating system on Amazon EC2 instances.	D	
7. A Cloud Practitioner noticed that IP addresses that are owned by AWS are being used to attempt to flood ports on some of the company’s systems. To whom should the issue be reported?	A. AWS Professional Services	B. AWS Partner Network (APN)	C. AWS Trust & Safety team	D. AWS Technical Account Manager (TAM)	C	
8. Which on-premises costs must be included in a Total Cost of Ownership (TCO) calculation when comparing against the AWS Cloud? (Select TWO.) © 2024 Digital Cloud Training 70	A. Physical compute hardware	B. Operating system administration	C. Network infrastructure in the data center	D. Project management services	E. Database schema development	AC
9. Which of the following can be used to identify a specific user who terminated an Amazon RDS DB instance?	A. AWS CloudTrail	B. Amazon Inspector	C. Amazon CloudWatch	D. AWS Trusted Advisor	A	
10. Which AWS service can be used to perform data extract, transform, and load (ETL) operations so you can prepare data for analytics?	A. Amazon QuickSight	B. AWS Glue	C. Amazon Athena	D. Amazon S3 Select	B	
11. Which of the following tasks can a user perform to optimize Amazon EC2 costs? (Select TWO.)	A. Implement Auto Scaling groups to add and remove instances based on demand.	B. Create a policy to restrict IAM users from accessing the Amazon EC2 console.	C. Set a budget to limit spending on Amazon EC2 instances using AWS Budgets.	D. Purchase Amazon EC2 Reserved Instances.	E. Create users in a single Region to reduce the spread of EC2 instances globally.	AD
12. According to the shared responsibility model, which security-related task is the responsibility of the customer?	A. Maintaining server-side encryption.	B. Securing servers and racks at AWS data centers.	C. Maintaining firewall configurations at a hardware level.	D. Maintaining physical networking configuration.	A	
13. A company plan to move the application development to AWS. Which benefits can they achieve when developing and running applications in the AWS Cloud compared to on-premises? (Select TWO.)	A. AWS automatically replicates all data globally.	B. AWS will fully manage the entire application.	C. AWS makes it easy to implement high availability.	D. AWS can accommodate large changes in application demand.	E. AWS takes care of application security patching.	CD
14. Which AWS services offer compute capabilities? (Select TWO.)	A. Amazon DynamoDB	B. Amazon ECS	C. Amazon EFS	D. Amazon CloudHSM	E. AWS Lambda	BE
15. A cloud practitioner needs to migrate a 70 TB of data from an on-premises data center into the AWS Cloud. The company has a slow and unreliable internet connection. Which AWS service can the cloud practitioner leverage to transfer the data?	A. Amazon S3 Glacier	B. AWS Snowball	C. AWS Storage Gateway	D. AWS DataSync	B	
16. Which AWS service is a fully-managed source control service that hosts secure Git-based repositories?	A. AWS CodeBuild	B. AWS CodeDeploy	C. AWS CodeCommit	D. AWS CodePipeline	C	
17. A Cloud Practitioner is re-architecting a monolithic application. Which design principles for cloud architecture do AWS recommend? (Select TWO.)	A. Implement manual scalability.	B. Implement loose coupling.	C. Use self-managed servers.	D. Rely on individual components.	E. Design for scalability.	BE
18. Which of the following a valid best practices for using the AWS Identity and Access Management (IAM) service? (Select TWO.)	A. Embed access keys in application code.	B. Create individual IAM users.	C. Use inline policies instead of customer managed policies.	D. Use groups to assign permissions to IAM users.	E. Grant maximum privileges to IAM users.	BD
19. Which benefit of AWS enables companies to replace upfront fixed expenses with variable expenses when using on-demand technology services?	A. Pay-as-you-go pricing	B. Economies of scale	C. Global reach	D. High availability	A	
20. A Service Control Policy (SCP) is used to manage the maximum available permissions and is associated with which of the following? Service control policies (SCPs) manage permissions for which of the following?	A. AWS Global Infrastructure	B. AWS Regions	C. AWS Organizations	D. Availability Zones	C	
21. What should a Cloud Practitioner ensure when designing a highly available architecture on AWS?	A. Servers have low-latency and high throughput network connectivity.	B. The failure of a single component should not affect the application.	C. There are enough servers to run at peak load available at all times.	D. A single monolithic application component handles all operations.	B	
22. Which technology can automatically adjust compute capacity as demand for an application increases or decreases?	A. Load balancing	B. Auto Scaling	C. Fault tolerance	D. High availability	B	
23. Which of the following is an advantage for a company running workloads in the AWS Cloud vs on-premises? (Select TWO.)	A. Less staff time is required to launch new workloads.	B. Increased time to market for new application features.	C. Higher acquisition costs to support elastic workloads.	D. Lower overall utilization of server and storage systems.	E. Increased productivity for application development teams.	AE
24. Which cloud architecture design principle is supported by deploying workloads across multiple Availability Zones?	A. Automate infrastructure.	B. Design for agility.	C. Enable elasticity.	D. Design for failure.	D	
25. A company requires a dashboard for reporting when using a business intelligence solution. Which AWS service can a Cloud Practitioner use?	A. Amazon Redshift	B. Amazon Kinesis	C. Amazon Athena	D. Amazon QuickSight	D	
26. A Cloud Practitioner wants to configure the AWS CLI for programmatic access to AWS services. Which credential components are required? (Select TWO.)	A. An access key ID	B. A public key	C. A secret access key	D. An IAM Role	E. A private key	AC
27. Which service can a Cloud Practitioner use to configure custom cost and usage limits and enable alerts for when defined thresholds are exceeded?	A. Consolidated billing	B. AWS Trusted Advisor	C. Cost Explorer	D. AWS Budgets	D	
28. What is the function of Amazon EC2 Auto Scaling?	A. Scales the size of EC2 instances up or down automatically, based on demand.	B. Automatically updates the EC2 pricing model, based on demand.	C. Scales the number of EC2 instances in or out automatically, based on demand.	D. Automatically modifies the network throughput of EC2 instances, based on demand.	C	
29. Which AWS service should a Cloud Practitioner use to establish a secure network connection between an on-premises network and AWS?	A. AWS Mobile Hub	B. AWS Web Application Firewall (WAF)	C. Amazon Virtual Private Cloud (VPC)	D. Virtual Private Network	D	
30. Which AWS-managed service can be used to process vast amounts of data using a hosted Hadoop framework?	A. Amazon DynamoDB	B. Amazon Athena	C. Amazon EMR	D. Amazon Redshift	C	
31. Which Amazon EC2 pricing model should be avoided if a workload cannot accept interruption if capacity becomes temporarily unavailable?	A. Spot Instances	B. On-Demand Instances	C. Standard Reserved Instances	D. Convertible Reserved Instances	A	
32. A Cloud Practitioner requires a simple method to identify if unrestricted access to resources has been allowed by security groups. Which service can the Cloud Practitioner use?	A. AWS Trusted Advisor	B. Amazon CloudWatch	C. VPC Flow Logs	E. AWS CloudTrail	A	
33. An eCommerce company plans to use the AWS Cloud to quickly deliver new functionality in an iterative manner, minimizing the time to market. Which feature of the AWS Cloud provides this functionality?	A. Elasticity	B. Agility	C. Fault tolerance	D. Cost effectiveness	B	
34. What can a Cloud Practitioner do with the AWS Cost Management tools? (Select TWO.)	A. Visualize AWS costs by day, service, and linked AWS account.	B. Terminate EC2 instances automatically if budget thresholds are exceeded.	C. Automatically modify EC2 instances to use Spot pricing to reduce costs.	D. Create budgets and receive notifications if current or forecasted usage exceeds the budgets.	E. Archive data to Amazon Glacier if it is not accessed for a configured period of time.	AD
35. Which AWS dashboard displays relevant and timely information to help users manage events in progress, and provides proactive notifications to help plan for scheduled activities?	A. AWS Service Health Dashboard	B. AWS Personal Health Dashboard	C. AWS Trusted Advisor dashboard	D. Amazon CloudWatch dashboard	B	
36. Which AWS service should a Cloud Practitioner use to automate conﬁguration management using Puppet?	A. AWS Conﬁg	B. AWS OpsWorks	C. AWS CloudFormation	D. AWS Systems Manager	B	
37. Which AWS service is used to send both text and email messages from distributed applications?	A. Amazon Simple Notiﬁcation Service (Amazon SNS)	B. Amazon Simple Email Service (Amazon SES)	C. Amazon Simple Workflow Service (Amazon SWF)	D. Amazon Simple Queue Service (Amazon SQS)	A	
38. Which AWS service or feature allows a company to receive a single monthly AWS bill when using multiple AWS accounts?	A. Consolidated billing	B. Amazon Cloud Directory	C. AWS Cost Explorer	D. AWS Cost and Usage report	A	
39. A user needs an automated security assessment report that will identify unintended network access to Amazon EC2 instances and vulnerabilities on those instances. Which AWS service will provide this assessment report?	A. EC2 security groups	B. AWS Conﬁg	C. Amazon Macie	D. Amazon Inspector 	D	
40. Which of the following best describes an Availability Zone in the AWS Cloud?	A. One or more physical data centers	B. A completely isolated geographic location	C. One or more edge locations based around the world	D. A subnet for deploying resources into	A	
41. A company needs a consistent and dedicated connection between AWS resources and an on-premise system. Which AWS service can fulﬁl this requirement?	A. AWS Direct Connect	B. AWS Managed VPN	C. Amazon Connect	D. AWS DataSync	A	
42. Which AWS service helps customers meet corporate, contractual, and regulatory compliance requirements for data security by using dedicated hardware appliances within the AWS Cloud?	A. AWS Secrets Manager	B. AWS CloudHSM	C. AWS Key Management Service (AWS KMS)	D. AWS Directory Service	B	
43. What can a Cloud Practitioner use the AWS Total Cost of Ownership (TCO) Calculator for?	A. Generate reports that break down AWS Cloud compute costs by duration, resource, or tags	B. Estimate savings when comparing the AWS Cloud to an on-premises environment	C. Estimate a monthly bill for the AWS Cloud resources that will be used	D. Enable billing alerts to monitor actual AWS costs compared to estimated costs	B	
44. Which of the following should be used to improve the security of access to the AWS Management Console? (Select TWO.)	A. AWS Secrets Manager	B. AWS Certiﬁcate Manager	C. AWS Multi-Factor Authentication (AWS MFA)	D. Security group rules	E. Strong password policies	CE
45. An application has highly dynamic usage patterns. Which characteristics of the AWS Cloud make it cost-effective for this type of workload? (Select TWO.)	A. High availability	B. Strict security	C. Elasticity	D. Pay-as-you-go pricing	E. Reliability	CD
46. Which benefits can a company immediately realize using the AWS Cloud? (Select TWO.)	A. Variable expenses are replaced with capital expenses	B. Capital expenses are replaced with variable expenses	C. User control of physical infrastructure	D. Increased agility	E. No responsibility for security	BD
47. Which AWS hybrid storage service enables a user’s on-premises applications to seamlessly use AWS Cloud storage?	A. AWS Backup	B. Amazon Connect	C. AWS Direct Connect	D. AWS Storage Gateway	D	
48. A user has limited knowledge of AWS services, but wants to quickly deploy a scalable Node.js application in an Amazon VPC. Which service should be used to deploy the application?	A. AWS CloudFormation	B. AWS Elastic Beanstalk	C. Amazon EC2	D. Amazon LightSail	B	
49. How can a security compliance officer retrieve AWS compliance documentation such as a SOC 2 report?	A. Using AWS Artifact	B. Using AWS Trusted Advisor	C. Using AWS Inspector	D. Using the AWS Personal Health Dashboard	A	
50. Which AWS service can be used to run Docker containers?	A. AWS Lambda	B. Amazon ECR	C. Amazon ECS	D. Amazon AMI	C	
51. What are the benefits of using the AWS Managed Services? (Select TWO.)	A. Alignment with ITIL processes	B. Managed applications so you can focus on infrastructure	C. Baseline integration with ITSM tools	D. Designed for small businesses	E. Support for all AWS services	AC
52. Which services are involved with security? (Select TWO.)	A. AWS CloudHSM	B. AWS DMS	C. AWS KMS	D. AWS SMS	E. Amazon ELB	AC
53. What are the names of two types of AWS Storage Gateway? (Select TWO.)	A. S3 Gateway	B. File Gateway	C. Block Gateway	D. Tape Gateway	E. Cached Gateway	BD
54. An application stores images which will be retrieved infrequently, but must be available for retrieval immediately. Which is the most cost-effective storage option that meets these requirements?	A. Amazon Glacier with expedited retrievals	B. Amazon S3 Standard-Infrequent Access	C. Amazon EFS	D. Amazon S3 Standard	B	
55. Which AWS support plans provide support via email, chat and phone? (Select TWO.)	A. Basic	B. Developer	C. Business	D. Enterprise	E. Global	CD
56. Which AWS service can be used to host a static website?	A. Amazon S3	B. Amazon EBS	C. AWS CloudFormation	D. Amazon EFS	A	
57. Which of the following are AWS recommended best practices in relation to IAM? (Select TWO.)	A. Assign permissions to users	B. Create individual IAM users	C. Embed access keys in application code	D. Enable MFA for all users	E. Grant greatest privilege	BD
58. Which of the following security operations tasks must be performed by AWS customers? (Select TWO.)	A. Collecting syslog messages from physical firewalls	B. Issuing data center access keycards	C. Installing security updates on EC2 instances	D. Enabling multi-factor authentication (MFA) for privileged users	E. Installing security updates for server firmware	CD
59. How can an organization assess applications for vulnerabilities and deviations from best practice?	A. Use AWS Artifact	B. Use AWS Inspector	C. Use AWS Shield	D. Use AWS WAF	B	
60. Which AWS service protects against common exploits that could compromise application availability, compromise security or consume excessive resources?	A. AWS WAF	B. AWS Shield	C. Security Group	D. Network ACL	A	
61. A new user is unable to access any AWS services, what is the most likely explanation? © 2024 Digital Cloud Training 104	A. The user needs to login with a key pair	B. The services are currently unavailable	C. By default new users are created without access to any AWS services	D. The default limit for user logons has been reached	C	
62. Which of the following compliance programs allows the AWS environment to process, maintain, and store protected health information?	A. ISO 27001	B. PCI DSS	C. HIPAA	D. SOC 1	C	
63. Which AWS service can be used to load data from Amazon S3, transform it, and move it to another destination?	A. Amazon RedShift	B. Amazon EMR	C. Amazon Kinesis	D. AWS Glue	D	
64. How should an organization deploy an application running on multiple EC2 instances to ensure that a power failure does not cause an application outage?	A. Launch the EC2 instances in separate regions	B. Launch the EC2 instances into different VPCs	C. Launch the EC2 instances into different Availability Zones	D. Launch the EC2 instances into Edge Locations	C	
65. Which of the statements below is correct in relation to Consolidated Billing? (Select TWO.)	A. You receive one bill per AWS account	B. You receive a single bill for multiple accounts	C. You pay a fee per linked account	D. You can combine usage and share volume pricing discounts	E. You are charged a fee per user	BD
66. Amazon S3 is typically used for which of the following use cases? (Select TWO.)	A. Host a static website	B. Install an operating system	C. Media hosting	D. In-memory data cache	E. Message queue	AC
67. Which AWS service or feature can be used to restrict the individual API actions that users and roles in each member account can access?	A. Amazon Macie	B. AWS Organizations	C. AWS Shield	D. AWS IAM	B	
68. Which AWS service can be used to track the activity of users on AWS?	A. AWS CloudTrail	B. AWS Directory Service	C. Amazon Inspector	D. Amazon CloudWatch	A	
69. A company needs to optimize costs and resource usage through monitoring of operational health for all resources running on AWS. Which AWS service will meet these requirements?	A. AWS Control Tower	B. Amazon CloudWatch	C. AWS CloudTrail	D. AWS Config	B	
70. A user needs a quick way to determine if any Amazon EC2 instances have ports that allow unrestricted access. Which AWS service will support this requirement?	A. VPC Flow Logs	B. AWS Shield	C. AWS Trusted Advisor	D. AWS CloudWatch Logs	C	
71. A company has a website that delivers static content from an Amazon S3 bucket to users from around the world. Which AWS service will deliver the content with low latency?	A. AWS Lambda	B. Amazon CloudFront	C. AWS Elastic Beanstalk	D. AWS Global Accelerator	B	
72. Which AWS service or component allows inbound traffic from the internet to access a VPC?	A. NAT Gateway	B. Internet gateway	C. VPC Route Table	D. Virtual Private Gateway	B	
73. A company plans to connect their on-premises data center to the AWS Cloud and requires consistent bandwidth and performance. Which AWS service should the company choose?	A. AWS VPN	B. Amazon Connect	C. AWS Direct Connect	D. Amazon CloudFront	C	
74. A manager is planning to migrate applications to the AWS Cloud and needs to obtain AWS compliance reports. How can these reports be generated?	A. Download the reports from AWS Secrets Manager.	B. Contact the AWS Compliance team.	C. Create a support ticket with AWS Support.	D. Download the reports from AWS Artifact.	D	
75. A company has been using an AWS managed IAM policy for granting permissions to users but needs to add some permissions. How can this be achieved?	A. Create a rule in AWS WAF.	B. Create a custom IAM policy.	C. Edit the AWS managed policy.	D. Create a Service Control Policy.	B	
76. Which AWS service or feature can be used to capture information about inbound and outbound IP traffic on network interfaces in a VPC?	A. Internet gateway	B. AWS CloudTrail	C. VPC Endpoint	D. VPC Flow Logs	D	
77. Which AWS services can be used as infrastructure automation tools? (Select TWO.)	A. AWS CloudFormation	B. Amazon CloudFront	C. AWS Batch	D. AWS OpsWorks	E. Amazon QuickSight	AD
78. What technology enables compute capacity to adjust as loads change?	A. Load balancing	B. Automatic failover	C. Round robin	D. Auto Scaling	D	
79. How can a company separate costs for storage, Amazon EC2, Amazon S3, and other AWS services by department?	A. Add department-speciﬁc tags to each resource	B. Create a separate VPC for each department	C. Create a separate AWS account for each department	D. Use AWS Organizations	A	
80. Which AWS Support plan provides access to architectural and operational reviews, as well as 24/7 access to Cloud Support Engineers through email, online chat, and phone?	A. Basic	B. Business	C. Developer	D. Enterprise	D	
81. Under the AWS shared responsibility model, which of the following is an example of security in the AWS Cloud?	A. Managing edge locations	B. Physical security	C. Firewall conﬁguration	D. Global infrastructure	C	
82. Which AWS service provides on-demand downloads of AWS security and compliance reports?	A. AWS Directory Service	B. AWS Artifact	C. AWS Trusted Advisor	D. Amazon Inspector	B	
83. Which Amazon EC2 pricing model is the most cost-effective for an always-up, right-sized database server running a project that will last 1 year?	A. On-Demand Instances	B. Convertible Reserved Instances	C. Spot Instances	D. Standard Reserved Instances	D	
84. Which feature enables fast, easy, and secure transfers of files over long distances between a client and an Amazon S3 bucket?	A. S3 Static Websites	B. S3 Copy	C. Multipart Upload	D. S3 Transfer Acceleration	D	
85. Under the AWS shared responsibility model what is AWS responsible for? (Select TWO.)	A. Physical security of the data center	B. Replacement and disposal of disk drives	C. Configuration of security groups	D. Patch management of operating systems	E. Encryption of customer data	AB
86. Which AWS service is known as a “serverless” service and runs code as functions triggered by events?	A. Amazon ECS	B. AWS Lambda	C. Amazon CodeDeploy	D. Amazon Cognito	B	
87. Which statement best describes Amazon Route 53?	A. Amazon Route 53 is a service that enables routing within VPCs in an account	B. Amazon Route 53 is a highly available and scalable Domain Name System (DNS) service	C. Amazon Route 53 enables hybrid cloud models by extending an organization's on-premise networks into the AWS cloud	D. Amazon Route 53 is a service for distributing incoming connections between a fleet of registered EC2 instances	B	
88. Which service provides a way to convert video and audio files from their source format into versions that will playback on devices like smartphones, tablets and PCs?	A. Amazon Elastic Transcoder	B. AWS Glue	C. Amazon Rekognition	D. Amazon Comprehend	A	
89. When using AWS Organizations with consolidated billing what are two valid best practices? (Select TWO.)	A. Always enable multi-factor authentication (MFA) on the root account	B. Always use a straightforward password on the root account	C. The paying account should be used for billing purposes only	D. Use the paying account for deploying resources	E. Never exceed the limit of 20 linked accounts	AC
90. Which AWS support plan comes with a Technical Account Manager (TAM)?	A. Basic	B. Developer	C. Business	D. Enterprise	D	
91. Which service provides the ability to simply upload applications and have AWS handle the deployment details of capacity provisioning, load balancing, auto-scaling, and application health monitoring?	A. Amazon EC2	B. AWS Elastic Beanstalk	C. Amazon EC2 Auto Scaling	D. AWS OpsWorks	B	
92. You are concerned that you may be getting close to some of the default service limits for several AWS services. What AWS tool  133 © 2024 Digital Cloud Training can be used to display current usage and limits?	A. AWS CloudWatch	B. AWS Personal Health Dashboard	C. AWS Trusted Advisor	D. AWS Systems Manager	C	
93. You need to run a production process that will use several EC2 instances and run constantly on an ongoing basis. The process cannot be interrupted or restarted without issue. What EC2 pricing model would be best for this workload?	A. Reserved instances	B. Spot instances	C. On-demand instances	D. Flexible instances	A	
94. Which AWS service does API Gateway integrate with to enable users from around the world to achieve the lowest possible latency for API requests and responses?	A. AWS Direct Connect	B. Amazon S3 Transfer Acceleration	C. Amazon CloudFront	D. AWS Lambda	C	
95. Which service can an organization use to track API activity within their account?	A. AWS CloudTrail	B. Amazon CloudWatch	C. AWS IAM	D. AWS CloudHSM	A	
96. What tool provides real time guidance to help you provision your resources following best practices in the areas of cost optimization, performance, security and fault tolerance?	A. AWS Inspector	B. AWS Trusted Advisor	C. AWS Personal Health Dashboard	D. AWS IAM	B	
97. What is the best way for an organization to transfer hundreds of terabytes of data from their on-premise data center into Amazon S3 with limited bandwidth available?	A. Use S3 Transfer Acceleration	B. Apply compression before uploading	C. Use AWS Snowball	D. Use Amazon CloudFront	C	
98. Which database allows you to scale at the push of a button without incurring any downtime?	A. Amazon RDS	B. Amazon EMR	C. Amazon DynamoDB	D. Amazon RedShift	C	
99. What are the charges for using Amazon Glacier? (Select TWO.)	A. Data transferred into Glacier	B. Retrieval requests	C. Data storage	D. Enhanced networking	E. Number of Availability Zones	BC
100. Which of the following statements are correct about the benefits of AWS Direct Connect? (Select TWO.)	A. Quick to implement	B. Increased reliability (predictable performance)	C. Lower cost than a VPN	D. Increased bandwidth (predictable bandwidth)	E. Uses redundant paths across the Internet	BD
101. Which AWS service lets you use Chef and Puppet to automate how servers are configured, deployed, and managed across your Amazon EC2 instances or on-premises compute environments?	A. AWS Elastic Beanstalk	B. AWS CloudFormation	C. AWS Systems Manager	D. AWS OpsWorks	D	
102. Which AWS database service provides a fully managed data warehouse that can be analyzed using SQL tools and business intelligence tools?	A. Amazon RDS	B. Amazon DynamoDB	C. Amazon RedShift	D. Amazon ElastiCache	C	
103. Which service can be used to create sophisticated, interactive graph applications?	A. Amazon RedShift	B. Amazon Neptune	C. AWS X-Ray	D. Amazon Athena	B	
104. When using Amazon IAM, what authentication methods are available to use? (Select TWO.)	A. Client certificates	B. Access keys	C. AWS KMS	D. Server certificates	E. AES 256	BD
